reaction_id,section,step,reaction_class,named_reaction,reaction_smiles,resolved/total,reactants,reactant_smiles,products,product_smiles,origins
Claims_Step 1,Claims,Step 1,electrophilic_substitution,Friedel-Crafts sulfonylation,Cc1ccccc1Cl.[Cl][Al]([Cl])[Cl].CS(=O)(=O)Cl.ClCCl.ClC(Cl)Cl.ClCCCl.O>>Cc1c(Cl)cccc1S(C)(=O)=O,8/8,"2-chlorotoluene; anhydrous aluminium trichloride; methanesulfonyl chloride; dichloromethane; chloroform; 1,2-dichloroethane; water",Cc1ccccc1Cl; [Cl][Al]([Cl])[Cl]; CS(=O)(=O)Cl; ClCCl; ClC(Cl)Cl; ClCCCl; O,2-chloro-6-(methanesulfonyl)toluene,Cc1c(Cl)cccc1S(C)(=O)=O,curated; derived; name_parsed
Claims_Step 2,Claims,Step 2,acylation,Friedel-Crafts acylation,Cc1c(Cl)cccc1S(C)(=O)=O.[Cl][Al]([Cl])[Cl].CC(=O)Cl.ClCCl.ClC(Cl)Cl.ClCCCl.Cl.O>>CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,9/9,"2-chloro-6-(methanesulfonyl)toluene; anhydrous aluminium trichloride; acetyl chloride; dichloromethane; chloroform; 1,2-dichloroethane; hydrochloric acid; water",Cc1c(Cl)cccc1S(C)(=O)=O; [Cl][Al]([Cl])[Cl]; CC(=O)Cl; ClCCl; ClC(Cl)Cl; ClCCCl; Cl; O,2-chloro-3-acetyl-6-(methanesulfonyl)toluene,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,curated; derived; name_parsed
Claims_Step 3,Claims,Step 3,oxidation,haloform reaction,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl.[Na+].[O-]Cl.Cl.O>>Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl,5/5,2-chloro-3-acetyl-6-(methanesulfonyl)toluene; sodium hypochlorite; hydrochloric acid; water,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl; [Na+].[O-]Cl; Cl; O,2-chloro-3-methyl-4-(methanesulfonyl)benzoic acid,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl,derived; name_parsed
Claims_Step 4,Claims,Step 4,ester_formation,Fischer esterification,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl.CO.O=S(=O)(O)O.Cc1ccc(S(=O)(=O)O)cc1>>COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,5/5,2-chloro-3-methyl-4-(methanesulfonyl)benzoic acid; methanol; concentrated sulfuric acid; p-toluenesulfonic acid,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl; CO; O=S(=O)(O)O; Cc1ccc(S(=O)(=O)O)cc1,methyl 2-chloro-3-methyl-4-(methanesulfonyl)benzoate,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,derived; name_parsed
Claims_Step 5,Claims,Step 5,halogenation,Wohl-Ziegler bromination,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl.O=C(OO)c1ccccc1.BrBr.ClC(Cl)(Cl)Cl.ClC(Cl)Cl.ClCCl.ClCCCl.O>>COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,9/9,"methyl 2-chloro-3-methyl-4-(methanesulfonyl)benzoate; peroxybenzoic acid; bromine; carbon tetrachloride; chloroform; dichloromethane; 1,2-dichloroethane; water",COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl; O=C(OO)c1ccccc1; BrBr; ClC(Cl)(Cl)Cl; ClC(Cl)Cl; ClCCl; ClCCCl; O,methyl 2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,curated; derived; name_parsed
Claims_Step 6,Claims,Step 6,hydrolysis,Williamson ether synthesis,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl.[Na+].[O-]CC(F)(F)F.C1CCOC1.CC#N.ClCCl.Cc1ccccc1.CCOC(=O)c1ccc(S(C)(=O)=O)c(COCC(F)(F)F)c1Cl.[Na+].[OH-].Cl.O>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,11/11,"methyl 2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate; sodium 2,2,2-trifluoroethoxide; tetrahydrofuran; acetonitrile; dichloromethane; toluene; ethyl 2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoate; sodium hydroxide; hydrochloric acid; water",COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; [Na+].[O-]CC(F)(F)F; C1CCOC1; CC#N; ClCCl; Cc1ccccc1; CCOC(=O)c1ccc(S(C)(=O)=O)c(COCC(F)(F)F)c1Cl; [Na+].[OH-]; Cl; O,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoic acid",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,curated; derived; name_parsed
Claims_Step 7,Claims,Step 7,ester_formation,,,12/13,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoic acid; N,N-dimethylformamide; thionyl chloride; dichloromethane; cyclohexanedione; sodium carbonate; potassium carbonate; sodium hydroxide; potassium hydroxide; pyridine; triethylamine; water",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; CN(C)C=O; O=S(Cl)Cl; ClCCl; ; O=C([O-])[O-].[Na+].[Na+]; O=C([O-])[O-].[K+].[K+]; [Na+].[OH-]; [K+].[OH-]; c1ccncc1; CCN(CC)CC; O,"3-oxo-1-cyclohexen-1-yl 2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoate",CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,curated; derived; name_parsed; none
Claims_Step 8,Claims,Step 8,other,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F.CC(=O)CC#N.CCN(CC)CC.O>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,5/5,"3-oxo-1-cyclohexen-1-yl 2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoate; cyanoacetone; triethylamine; water",CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F; CC(=O)CC#N; CCN(CC)CC; O,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,curated; derived; name_parsed; patent_drawing
Example 1_Step 1,Example 1,Step 1,electrophilic_substitution,Friedel-Crafts sulfonylation,,6/7,"2-chlorotoluene; aluminium trichloride; 1,2-dichloroethane; methanesulfonyl chloride; ice water; 1,2-二氯甲烷",Cc1ccccc1Cl; [Cl][Al]([Cl])[Cl]; ClCCCl; CS(=O)(=O)Cl; O; ,2-chloro-6-(methylsulfonyl)toluene,Cc1c(Cl)cccc1S(C)(=O)=O,curated; name_parsed; none; patent_drawing
Example 1_Step 2,Example 1,Step 2,acylation,Friedel-Crafts acylation,Cc1c(Cl)cccc1S(C)(=O)=O.[Cl][Al]([Cl])[Cl].ClCCl.CC(=O)Cl.O.Cl.O>>CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,8/8,2-chloro-6-(methylsulfonyl)toluene; aluminium trichloride; dichloromethane; acetyl chloride; ice water; hydrochloric acid; water,Cc1c(Cl)cccc1S(C)(=O)=O; [Cl][Al]([Cl])[Cl]; ClCCl; CC(=O)Cl; O; Cl; O,2-chloro-3-acetyl-6-(methylsulfonyl)toluene,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,curated; name_parsed; patent_drawing
