reaction_id,section,step,reaction_class,named_reaction,reaction_smiles,resolved/total,reactants,reactant_smiles,products,product_smiles,origins
Background_Step 1,Background,Step 1,nucleophilic_substitution,,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F.O=S(Cl)Cl>>CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,3/3,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoic acid; thionyl chloride",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; O=S(Cl)Cl,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoyl chloride",CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Background_Step 2,Background,Step 2,ester_formation,,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F.O=C1CCCC(=O)C1>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,3/3,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoyl chloride; cyclohexane-1,3-dione",CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F; O=C1CCCC(=O)C1,enol ester,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Background_Step 3,Background,Step 3,acylation,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F.CC(C)(O)C#N.[C-]#N>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,4/4,enol ester; acetone cyanohydrin; cyanide,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F; CC(C)(O)C#N; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Background_Scheme Step 1,Background,Scheme Step 1,ester_formation,,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F.O=S(Cl)Cl.O=C1CCCC(=O)C1>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,4/4,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoic acid; thionyl chloride; cyclohexane-1,3-dione",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; O=S(Cl)Cl; O=C1CCCC(=O)C1,enol ester,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Background_Scheme Step 2,Background,Scheme Step 2,acylation,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F.CC(C)(O)C#N>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,3/3,enol ester; acetone cyanohydrin,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F; CC(C)(O)C#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Claims_Step 1,Claims,Step 1,other,,,6/6,"tembotrione; acetonitrile; methanol; ethanol; N,N-dimethylformamide; water",CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CC#N; CO; CCO; CN(C)C=O; O,,,name_parsed; patent_drawing
Claims_Step 2,Claims,Step 2,other,,,1/4,tembotrione; adsorbent; activated carbon; diatomaceous earth,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; ; ; ,,,none; patent_drawing
Claims_Step 3,Claims,Step 3,recrystallisation,,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F.Cl.CC#N.CO.CCO.CN(C)C=O.O>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,8/8,"tembotrione; hydrochloric acid; acetonitrile; methanol; ethanol; N,N-dimethylformamide; water",CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; Cl; CC#N; CO; CCO; CN(C)C=O; O,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Example 1_Batch 1,Example 1,Batch 1,recrystallisation,,,6/7,tembotrione; methanol; water; activated carbon; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CO; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 1_Batch 2,Example 1,Batch 2,recrystallisation,,,6/7,tembotrione; methanol; water; activated carbon; hydrochloric acid; cyanide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CO; O; ; Cl; [C-]#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
