reaction_id,section,step,reaction_class,named_reaction,reaction_smiles,resolved/total,reactants,reactant_smiles,products,product_smiles,origins
Claims 16-33_Claim 19 Step i,Claims 16-33,Claim 19 Step i,other,,,9/10,tembotrione; cyclic ethers; acetonitrile; methanol; nitromethane; acetic acid; methyl ethyl ketone; pyridine; dimethyl sulfoxide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; ; CC#N; CO; C[N+](=O)[O-]; CC(=O)O; CCC(C)=O; c1ccncc1; CS(C)=O,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Claims 16-33_Claim 19 Step ii,Claims 16-33,Claim 19 Step ii,recrystallisation,,,9/10,tembotrione; cyclic ethers; acetonitrile; methanol; nitromethane; acetic acid; methyl ethyl ketone; pyridine; dimethyl sulfoxide,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; ; CC#N; CO; C[N+](=O)[O-]; CC(=O)O; CCC(C)=O; c1ccncc1; CS(C)=O,tembotrione crystalline form A,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Claims 16-33_Claim 23 Step i,Claims 16-33,Claim 23 Step i,other,,,3/5,"tembotrione; 2,2-dimethylpropanol; aromatic hydrocarbon; aliphatic hydrocarbon",CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CC(C)(C)CO; ; ,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Claims 16-33_Claim 23 Step ii,Claims 16-33,Claim 23 Step ii,recrystallisation,,,3/5,"tembotrione; 2,2-dimethylpropanol; aromatic hydrocarbon; aliphatic hydrocarbon",CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CC(C)(C)CO; ; ,tembotrione crystalline form C,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Comparative Example 1_Step 1,Comparative Example 1,Step 1,recrystallisation,,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F.CCCCCO>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,3/3,tembotrione; n-pentanol,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CCCCCO,tembotrione crystalline form B,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Comparative Example 2_Step 1,Comparative Example 2,Step 1,recrystallisation,,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F.CCOC(C)=O>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,3/3,tembotrione; ethyl acetate,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CCOC(C)=O,tembotrione crystalline form B,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Comparative Examples 11-20_Step 1,Comparative Examples 11-20,Step 1,recrystallisation,,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F.CCO>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F.CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,4/4,tembotrione; ethanol,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CCO,tembotrione crystalline form A; tembotrione crystalline form B,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Comparative Examples 11-20_Step 2,Comparative Examples 11-20,Step 2,recrystallisation,,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F.CCCO>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F.CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,4/4,tembotrione; 1-propanol,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CCCO,tembotrione crystalline form A; tembotrione crystalline form B,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Comparative Examples 11-20_Step 3,Comparative Examples 11-20,Step 3,recrystallisation,,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F.CCCCO>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F.CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,4/4,tembotrione; 1-butanol,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CCCCO,tembotrione crystalline form B; tembotrione crystalline form C,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Comparative Examples 11-20_Step 4,Comparative Examples 11-20,Step 4,recrystallisation,,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F.CC(C)O>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F.CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,4/4,tembotrione; 2-propanol,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CC(C)O,tembotrione crystalline form A; tembotrione crystalline form B,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F; CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
