reaction_id,section,step,reaction_class,named_reaction,reaction_smiles,resolved/total,reactants,reactant_smiles,products,product_smiles,origins
Background of the Invention_Step 1,Background of the Invention,Step 1,oxidation,,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-]>>CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,2/2,2-nitro-4-methylsulfonyl toluene,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-],2-nitro-4-methylsulphonyl benzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,patent_drawing
Background of the Invention_Step 2,Background of the Invention,Step 2,halogenation,,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1>>CS(=O)(=O)c1ccc(C(=O)Cl)c([N+](=O)[O-])c1,2/2,2-nitro-4-methylsulphonyl benzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,2-nitro-4-methylsulphonyl benzoyl chloride,CS(=O)(=O)c1ccc(C(=O)Cl)c([N+](=O)[O-])c1,patent_drawing
Background of the Invention_Step 3,Background of the Invention,Step 3,ester_formation,,,3/4,2-nitro-4-methylsulphonyl benzoyl chloride; cyclohexanedione; (CH3CH2 )3N,CS(=O)(=O)c1ccc(C(=O)Cl)c([N+](=O)[O-])c1; O=C1CCCC(=O)C1; ,enol ester of formula (II),CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1,none; patent_drawing
Background of the Invention_Step 4,Background of the Invention,Step 4,other,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,2/2,enol ester of formula (II),CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1,mesotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,patent_drawing
Background of the Invention_Step 5,Background of the Invention,Step 5,oxidation,,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-].CC(=O)O.CC(=O)[O-].[Na+].CC(=O)[O-].CC(=O)[O-].O.O.O.O.[Co+2]>>CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,5/5,2-nitro-4-methylsulfonyl toluene; acetic acid; Sodium acetate; cobalt(II) acetate tetra hydrate,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-]; CC(=O)O; CC(=O)[O-].[Na+]; CC(=O)[O-].CC(=O)[O-].O.O.O.O.[Co+2],2-nitro-4-methylsulphonyl benzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,name_parsed; patent_drawing
Background of the Invention_Step 6,Background of the Invention,Step 6,oxidation,,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-].O=S(=O)(O)O.O=[N+]([O-])O.[O-2].[O-2].[O-2].[O-2].[O-2].[V+5].[V+5]>>CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,5/5,2-nitro-4-methylsulfonyl toluene; sulfuric acid; nitric acid; vanadium pentoxide,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-]; O=S(=O)(O)O; O=[N+]([O-])O; [O-2].[O-2].[O-2].[O-2].[O-2].[V+5].[V+5],2-nitro-4-methylsulphonyl benzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,name_parsed; patent_drawing
Background of the Invention_Step 7,Background of the Invention,Step 7,oxidation,,,5/6,2-nitro-4-methylsulfonyl toluene; sulfuric acid; nitric acid; O2; vanadium pentoxide,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-]; O=S(=O)(O)O; O=[N+]([O-])O; ; [O-2].[O-2].[O-2].[O-2].[O-2].[V+5].[V+5],2-nitro-4-methylsulphonyl benzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,name_parsed; none; patent_drawing
Background of the Invention_Step 8,Background of the Invention,Step 8,oxidation,,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-].O=[N+]([O-])O.[O-2].[O-2].[O-2].[O-2].[O-2].[V+5].[V+5]>>CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,4/4,2-nitro-4-methylsulfonyl toluene; nitric acid; vanadium pentoxide,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-]; O=[N+]([O-])O; [O-2].[O-2].[O-2].[O-2].[O-2].[V+5].[V+5],2-nitro-4-methylsulphonyl benzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,name_parsed; patent_drawing
Claims_Step 1,Claims,Step 1,oxidation,,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-].[Na+].[O-]Cl.[O]=[Ru]>>CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,4/4,2-nitro-4-methylsulfonyl toluene; sodium hypochlorite; ruthenium oxide,Cc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-]; [Na+].[O-]Cl; [O]=[Ru],2-nitro-4-methylsulphonyl benzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,name_parsed; patent_drawing
Claims_Step 2,Claims,Step 2,ester_formation,,,6/9,"2-nitro-4-methylsulphonyl benzoic acid; 1,3-cyclohexanedione; N,N’-dicyclohexylcarbodiimide; dichloromethane; 1,2-dichloroethane; dichloropropanes; dichlorobutanes; dichloropentanes",CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1; O=C1CCCC(=O)C1; C(=NC1CCCCC1)=NC1CCCCC1; ClCCl; ClCCCl; ; ; ,enol ester of formula (II),CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c([N+](=O)[O-])c1,name_parsed; none; patent_drawing
